date_key,date,event_type,term
20200113,13-01-2020,Instruction_Begins,Spring
20200430,30-04-2020,Last_Class_Day,Spring
20200205,02-05-2020,Exams_Begin,Spring
20200805,08-05-2020,Exams_End,Spring
20200905,09-05-2020,Commencement,Spring
20200526,26-05-2020,Instruction_Begins,Summer
20200407,04-07-2020,Independence_Day,Summer
20200209,02-09-2020,Instruction_Begins,Fall
20201112,11-12-2020,Last_Class_Day,Fall
20201215,15-12-2020,Exams_Begin,Fall
20201220,20-12-2020,Commencement,Fall
20201221,21-12-2020,Exams_End,Fall
20210125,25-01-2021,Instruction_Begins,Spring
20210705,07-05-2021,Last_Class_Day,Spring
20210805,08-05-2021,Exams_Begin,Spring
20210514,14-05-2021,Exams_End,Spring
20210514,14-05-2021,Commencement,Spring
20210524,24-05-2021,Instruction_Begins,Summer
20210507,05-07-2021,Independence_Day,Summer
20210209,02-09-2021,Instruction_Begins,Fall
20211215,15-12-2021,Last_Class_Day,Fall
20211217,17-12-2021,Exams_Begin,Fall
20211219,19-12-2021,Commencement,Fall
20211223,23-12-2021,Exams_End,Fall
20220125,25-01-2022,Instruction_Begins,Spring
20220605,06-05-2022,Last_Class_Day,Spring
20220805,08-05-2022,Exams_Begin,Spring
20220513,13-05-2022,Exams_End,Spring
20220513,13-05-2022,Commencement,Spring
20220523,23-05-2022,Instruction_Begins,Summer
20220407,04-07-2022,Independence_Day,Summer
20220709,07-09-2022,Instruction_Begins,Fall
20221214,14-12-2022,Last_Class_Day,Fall
20221216,16-12-2022,Exams_Begin,Fall
20221218,18-12-2022,Commencement,Fall
20221222,22-12-2022,Exams_End,Fall
20230124,24-01-2023,Instruction_Begins,Spring
20230505,05-05-2023,Last_Class_Day,Spring
20230705,07-05-2023,Exams_Begin,Spring
20231205,12-05-2023,Exams_End,Spring
20231205,12-05-2023,Commencement,Spring
20230522,22-05-2023,Instruction_Begins,Summer
20230407,04-07-2023,Independence_Day,Summer
20230609,06-09-2023,Instruction_Begins,Fall
20231213,13-12-2023,Last_Class_Day,Fall
20231215,15-12-2023,Exams_Begin,Fall
20231217,17-12-2023,Commencement,Fall
20231221,21-12-2023,Exams_End,Fall
20240123,23-01-2024,Instruction_Begins,Spring
20240305,03-05-2024,Last_Class_Day,Spring
20240505,05-05-2024,Exams_Begin,Spring
20241005,10-05-2024,Exams_End,Spring
20241005,10-05-2024,Commencement,Spring
20240520,20-05-2024,Instruction_Begins,Summer
20240407,04-07-2024,Independence_Day,Summer
20240409,04-09-2024,Instruction_Begins,Fall
20241112,11-12-2024,Last_Class_Day,Fall
20241213,13-12-2024,Exams_Begin,Fall
20241215,15-12-2024,Commencement,Fall
20241219,19-12-2024,Exams_End,Fall
